+-----+-----+------------------------------------+------------------------------------------+---------------------+--------+----------+
|  #  | ID  |              课程名称              |                   作者                   |      购买日期       |  价格  | 学习进度 |
|  46 | 258 | 怎样让你的声音更有魅力2.0          | 郑伟·罗胖的声音训练师                   | 2019-09-23 16:44:07 |  19.90 |      100 |
|  47 | 449 | 给忙碌者的个人保险课               | 李璞·特许金融分析师                     | 2019-12-11 00:24:02 |  39.90 |       60 |
|  48 | 118 | 卓克·科学思维课                   | 卓克·科技观察家                         | 2019-09-23 16:46:32 | 199.00 |      100 |
|  49 | 433 | 贾行家说武侠                       | 贾行家·著名作家，得到专职作者           | 2020-04-10 19:31:36 |  99.00 |      100 |
|  50 | 515 | 中国产业格局·李丰猜想             | 李丰·峰瑞资本创始合伙人                 | 2020-05-01 23:57:03 |   0.00 |      100 |
|  51 | 503 | 王立铭·病毒科学9讲                | 王立铭·浙江大学生命科学研究院教授       | 2020-03-13 00:04:58 |  19.90 |      100 |
|  52 | 371 | 30天认知训练营第二季               | 王烁·财新传媒总编辑                     | 2019-09-23 16:46:34 |  99.00 |      100 |
|  53 | 502 | 科学人物课：冯·诺伊曼             | 卓克·科技观察家                         | 2020-03-16 00:00:10 |  19.90 |      100 |
|  54 | 465 | 跟张弛学市场调研                   | 张弛·中国市场研究行业协会副会长         | 2020-01-31 21:46:23 |  19.90 |      100 |
|  55 | 410 | 刘晗·法律思维30讲                 | 刘晗·清华大学法学院博士生导师           | 2019-12-24 08:26:16 |  99.00 |      100 |
|  56 | 379 | 李育辉·组织行为学                 | 李育辉·中国人民大学教授/博导            | 2019-09-23 16:46:37 |  99.00 |       81 |
|  57 | 476 | 2020知识春晚·得到知识清单         | 得到App·知识礼物                        | 2020-01-26 08:57:50 |   0.00 |      100 |
|  58 |  98 | 5分钟商学院·基础                  | 刘润·中国著名商业顾问                   | 2019-09-23 16:43:53 | 249.00 |       98 |
|  59 | 352 | 薄世宁·医学通识50讲               | 薄世宁·北医三院ICU医生                  | 2019-09-23 16:46:36 |  99.00 |      100 |
|  60 | 360 | 家庭背景声·西方名家经典散文       | 得到App·知识礼物                        | 2020-01-28 23:56:42 |   0.00 |        0 |
|  61 | 364 | 家庭背景声·傅雷家书               | 得到App·知识礼物                        | 2020-01-28 23:57:09 |   0.00 |        0 |
|  62 | 363 | 家庭背景声·宽容                   | 得到App·知识礼物                        | 2020-01-28 23:57:09 |   0.00 |        0 |
|  63 | 362 | 家庭背景声·关键时刻演讲           | 得到App·知识礼物                        | 2020-01-28 23:56:56 |   0.00 |        0 |
|  64 | 361 | 家庭背景声·哈佛毕业演讲           | 得到App·知识礼物                        | 2020-01-28 23:56:49 |   0.00 |        0 |
|  65 | 460 | 《奇葩说》的经济学知识包           | 薛兆丰·经济学者                         | 2019-12-19 22:54:39 |   0.00 |       80 |
|  66 | 374 | 冯雪·心脏医学课                   | 冯雪·阜外医院心脏康复中心主任、减肥专家 | 2019-09-23 16:46:34 |  39.90 |      100 |
|  67 | 426 | 蔡钰·批判性思维15讲               | 蔡钰·资深商业观察者                     | 2019-09-23 16:46:40 |  39.90 |      100 |
|  68 | 126 | 吴伯凡·认知方法论                 | 吴伯凡·著名学者                         | 2019-09-23 16:45:55 | 229.00 |      100 |
|  69 | 347 | 贾宁·财务思维课                   | 贾宁·清华大学经管学院会计系博士生导师   | 2019-09-23 16:46:28 |  99.00 |      100 |
|  70 | 418 | 吴军·信息论40讲                   | 吴军·计算机科学家                       | 2019-09-23 16:46:39 |  99.00 |      100 |
|  71 | 351 | 熊逸·唐诗必修50讲                 | 熊逸·思想隐士                           | 2019-11-17 09:24:13 |  99.00 |        2 |
|  72 | 434 | 前沿科技·吴军讲5G                 | 吴军·计算机科学家                       | 2019-09-23 16:46:41 |  19.90 |      100 |
|  73 | 456 | 前沿科技·量子计算                 | 李铁夫·清华大学副研究员                 | 2019-10-27 01:39:55 |  19.90 |      100 |
|  74 | 451 | 跟贾伟学设计                       | 贾伟·中国著名设计师                     | 2019-10-12 21:59:19 |  19.90 |      100 |
|  75 |  94 | 罗辑思维（1-4）                    | 罗振宇·得到App创始人                    | 2019-09-23 16:43:49 |   1.00 |       15 |
|  76 | 121 | 刘苏里·名家大课                   | 刘苏里·万圣书园创始人                   | 2019-10-07 00:58:48 | 199.00 |        2 |
|  77 | 141 | 陈海贤·自我发展心理学             | 陈海贤·心理学博士                       | 2019-09-23 16:46:23 |  99.00 |      100 |
|  78 | 412 | 孙亚飞·化学通识30讲               | 孙亚飞·化学工程师                       | 2019-09-23 16:46:39 |  99.00 |      100 |
|  79 | 296 | 怎样快速提升英语口语能力           | 马徐骏·资深翻译、新知守望者             | 2019-09-23 16:45:23 |  19.90 |      100 |
|  80 | 427 | 老喻的人生算法课                   | 老喻·思考者                             | 2019-09-23 16:46:41 |  99.00 |      100 |
|  81 | 442 | 科学人物课：霍金                   | 卓克·科技观察家                         | 2019-09-23 16:46:42 |  19.90 |      100 |
|  82 | 268 | 六神磊磊读唐诗（合集）             | 六神磊磊·作家                           | 2019-09-23 16:45:29 |  29.90 |       51 |
|  83 | 415 | 科学人物课：杨振宁                 | 卓克·科技观察家                         | 2019-09-23 16:46:39 |  19.90 |      100 |
|  84 | 368 | 吴军·科技史纲60讲                 | 吴军·计算机科学家                       | 2019-09-23 16:46:34 |  99.00 |      100 |
|  85 | 411 | 巨富之路：洛克菲勒                 | 李翔·得到总编辑                         | 2019-09-23 16:46:39 |  19.90 |      100 |
|  86 | 293 | 有效训练你的研究能力               | 许岑·跨界学习高手                       | 2019-09-23 16:45:29 |  19.90 |      100 |
|  87 | 354 | 众病之王的解决方案                 | 王立铭·浙江大学生命科学研究院教授       | 2019-09-23 16:46:31 |  39.90 |      100 |
|  88 | 346 | 如何做好孩子的情绪教养             | 周育如·台湾清华大学幼教系主任           | 2019-09-23 16:46:28 |  19.90 |      100 |
|  89 | 376 | 熊太行·职场关系课                 | 熊太行·人际关系洞察家                   | 2019-09-23 16:46:35 |  99.00 |      100 |
|  90 | 330 | 家庭背景声·古文有意思             | 李倩·语言学者                           | 2019-09-23 16:46:23 |   0.00 |        0 |
|  91 | 375 | 陪父母过个好年的全套方案           | 得到App·知识礼物                        | 2019-09-23 16:46:34 |   0.00 |       20 |
|  92 | 359 | 卓克·密码学30讲                   | 卓克·科技观察家                         | 2019-09-23 16:46:32 |  99.00 |      100 |
|  93 | 349 | 陆蓉·行为金融学                   | 陆蓉·上海财经大学金融学讲席教授         | 2019-09-23 16:46:30 |  99.00 |      100 |
|  94 | 305 | 如何培养面向未来的孩子             | 诸葛越·Hulu全球副总裁                   | 2019-09-23 16:45:41 |  19.90 |      100 |
|  95 | 132 | 梁宁·产品思维30讲                 | 梁宁·著名产品人                         | 2019-09-23 16:45:23 | 129.00 |      100 |
|  96 | 262 | 如何成为有效学习的高手             | 许岑·跨界学习高手                       | 2019-09-23 16:45:29 |  19.90 |      100 |
|  97 | 256 | 徐小平讲创业基本功                 | 徐小平·真格基金创始人                   | 2019-09-23 16:44:04 |   1.00 |      100 |
|  98 | 117 | 全球创新260讲                      | 王煜全·全球科技投资人                   | 2019-09-23 16:44:25 | 199.00 |       73 |
|  99 | 135 | 可见的未来                         | 可见的未来·可见的未来                   | 2019-09-23 16:45:30 |   0.00 |       18 |
| 100 | 133 | 2018重要的一课                     | 重要的一课·重要的一课                   | 2019-09-23 16:45:25 |   0.00 |       30 |
| 101 | 108 | 罗永浩的创业课                     | 罗永浩·锤子科技CEO                      | 2019-09-23 16:44:04 | 199.00 |       41 |
| 102 | 424 | 熊逸讲莎士比亚                     | 熊逸·思想隐士                           | 2019-09-23 16:46:40 |  19.90 |      100 |
+-----+-----+------------------------------------+------------------------------------------+---------------------+--------+----------+
